title,buyer_organization,category,description,region,deadline,budget_min,budget_max,source_url,documents,rfp_number,status,compliance_notes,id,created_date,updated_date,created_by_id,created_by,is_sample
Hexagon Software Maintenance and Support Hexagon Software Maintenance and Support View Details,City of Burnaby,engineering,"Notice is hereby given by the City of Burnaby of its intent to award a direct renewal contract to Intergraph Canada ULC, dba Hexagon Safety & Infrastructure (the “Vendor”) for Hexagon Software Maintenance and Support between approximately January 1, 2026 to December 31, 2026.The estimated value of the contract is $296,771.33 including GST and PST.",BC,2025-10-08,296771.33,296771.33,https://burnaby.bidsandtenders.ca/Module/Tenders/en/Tender/Detail/14f79b19-b9b0-4c68-8862-900f80f6e8b8/#PlanTaker,"[{""name"": ""NOI #143-09-25 Hexagon Software Maintenance and Support""}]",bidsandtenders.ca_NOI_#143-09-25,active,,783627d2ba6f426ab23d25de,2025-10-07T07:07:52.432534+00:00,2025-10-07T07:07:52.432534+00:00,68d474b503bc9d0a5709ed69,neelansh1624@gmail.com,
Progressive Design Build – Fraser Foreshore Park Signage Progressive Design Build – Fraser Foreshore Park Signage View Details,City of Burnaby,engineering,"The purpose of this Request for Proposal (“RFP”) is to invite Proposals from professional, qualified and experienced firms to select a Proponent to provide progressive design build services for the Burnaby Fraser Foreshore Park – Signage Replacement Project. The Design-Builder will bring progressive design build expertise to assist the owner, the City of Burnaby (“City”), through the various phases of the Burnaby Fraser Foreshore Park – Signage Replacement Project (“Project”), as identified in t...",BC,2025-10-09,,,https://burnaby.bidsandtenders.ca/Module/Tenders/en/Tender/Detail/e77ac3ba-b442-4c69-b96a-38670ad5b3fd/#Document,"[{""name"": ""RFP 131-08-25 PDB Fraser Foreshore Park Signage""}, {""name"": ""Appendix A - Technical Proposal""}, {""name"": ""Appendix B - Pricing Proposal""}, {""name"": ""Appendix C - Sample CCDC14 Contract""}, {""name"": ""Appendix D - CCDC14 SGC""}, {""name"": ""Appendix E - Sample PDB Consulting Agreement""}, {""name"": ""Appendix F - Burnaby Fraser Foreshore Map""}, {""name"": ""Appendix G - City Parks Signage General Spec - For Reference Only""}, {""name"": ""Appendix H - Corporate References""}]",bidsandtenders.ca_RFP_131-08-25,active,,ed79bbe789224246b314fdc6,2025-10-07T07:07:52.432534+00:00,2025-10-07T07:07:52.432534+00:00,68d474b503bc9d0a5709ed69,neelansh1624@gmail.com,
Mountain and Forest Fire Detection Services Mountain and Forest Fire Detection Services View Details,City of Burnaby,engineering,"The City of Burnaby (“City”) is requesting Proposals from qualified and experienced Proponents to provide mountain and forest fire detection products and services. The objective is to procure a scalable solution that enables early detection and monitoring of fire activity in the City's forested and mountainous areas. The Solution is expected to support future expansion, incorporate remote monitoring capabilities, and align with the City's strategic goals for fire risk mitigation.",BC,2025-10-07,,,https://burnaby.bidsandtenders.ca/Module/Tenders/en/Tender/Detail/3e6dd58d-cffd-4036-8174-47d391e783db/#Document,"[{""name"": ""Appendix A - Insurance Requirements""}, {""name"": ""Appendix B - Certificate of Insurance""}, {""name"": ""Appendix C - Pricing Form""}, {""name"": ""Appendix D - Proposed Sub-Contractors""}, {""name"": ""Appendix E - Value Added Offerings""}, {""name"": ""Appendix F - Corporate References""}, {""name"": ""Appendix G - Functional Requirements""}, {""name"": ""Appendix H - Non Functional Requirements""}, {""name"": ""Appendix I - Supplier Information Security Risk Questionnaire""}, {""name"": ""Attachment 1 - SaaS Master Agreement""}, {""name"": ""Attachment 2 - Non-Disclosure Agreement""}, {""name"": ""RFP 088-05-25 Mountain and Forest Fire Detection Services""}]",bidsandtenders.ca_RFP_#88-05-25,active,,0020ad5384494246aeedf455,2025-10-07T07:07:52.432534+00:00,2025-10-07T07:07:52.432534+00:00,68d474b503bc9d0a5709ed69,neelansh1624@gmail.com,
Richmond Fire-Rescue Apparatus Advancement Richmond Fire-Rescue Apparatus Advancement View Details,City of Richmond,engineering,"The City of Richmond (the “City”) is seeking to engage a highly qualified Contractor with demonstrated expertise in the design, manufacture, delivery, and maintenance-support of Fire Rescue Apparatus (the “Apparatus”). This initiative is part of the Richmond Fire-Rescue (RFR) Apparatus Replacement Program, which spans the next 10 years. The scope and specifications outlined in this Request for Proposal (RFP) reflect the City's commitment to equipping RFR with the most advanced and reliable resou...",BC,2025-11-04,,,https://richmond.bidsandtenders.ca/Module/Tenders/en/Tender/Detail/f9cd3e14-92e1-424e-9b72-c7c54f5a3628/#Document,"[{""name"": ""Appendix 4.1 Technical and Functional Specification""}, {""name"": ""Appendix 4.2 Rescue-Pumper Layout""}, {""name"": ""Appendix 4.3 Rescue Truck Layout""}, {""name"": ""Appendix 4.4 23-Metre Quint Layout""}, {""name"": ""Appendix 4.5 32-Metre Aerial Ladder Layout""}, {""name"": ""8491P Main RFP""}, {""name"": ""Schedule A Pricing Form""}, {""name"": ""Schedule C Deviation Form""}]",bidsandtenders.ca_8491P,active,,9038e0009de74333b73e5109,2025-10-07T07:07:52.432534+00:00,2025-10-07T07:07:52.432534+00:00,68d474b503bc9d0a5709ed69,neelansh1624@gmail.com,
Consulting Engineering Services for the Northwest Langley Wastewater Treatment Plant Outfall Project Consulting Engineering Services for the Northwest Langley Wastewater Treatment Plant Outfall Project View Details,bidsandtenders.ca,engineering,Consulting engineering services for the Northwest Langley Wastewater Treatment Plant Outfall (the “Outfall Project”).The following firms are pre-qualified to submit a Proposal in response to this RFP: (1) AECOM CANADA ULC(2) CDM SMITH CANADA ULC(3) DELVE UNDERGROUND CONSULTING CANADA ULC(4) STANTEC CONSULTING LTD.,BC,2025-10-31,,,https://metrovancouver.bidsandtenders.ca/Module/Tenders/en/Tender/Detail/c6dbfc97-4792-4d86-9d9d-db003b950d7f,"[{""name"": ""25-146 Forms""}, {""name"": ""25-146 RFP Document""}, {""name"": ""25-146 Attachments""}]",bidsandtenders.ca_25-146,active,,8128857d5559445c89e3d6d8,2025-10-07T07:07:52.432534+00:00,2025-10-07T07:07:52.432534+00:00,68d474b503bc9d0a5709ed69,neelansh1624@gmail.com,
Professional Services for the Reimplementation of the Hexagon (HXGN) EAM Software Professional Services for the Reimplementation of the Hexagon (HXGN) EAM Software View Details,bidsandtenders.ca,consulting,The work includes professional services for the reimplementation of the Hexagon (HxGN) EAM Software as detailed in Section 00 24 10.,BC,2025-10-08,,,https://metrovancouver.bidsandtenders.ca/Module/Tenders/en/Tender/Detail/d4adb693-cb17-436c-ab13-347610dc7597/#Addendum,"[{""name"": ""25-406.pdf""}, {""name"": ""25-406 RFP Document""}]",bidsandtenders.ca_25-406,active,,2e649920bd294ec28b3942c5,2025-10-07T07:07:52.432534+00:00,2025-10-07T07:07:52.432534+00:00,68d474b503bc9d0a5709ed69,neelansh1624@gmail.com,
"Maintenance of Weigh Scale Traffic Gates, Lights, and LPR Cameras Maintenance of Weigh Scale Traffic Gates, Lights, and LPR Cameras View Details",bidsandtenders.ca,maintenance,"The work includes the maintenance of weigh scale traffic gates, lights, and license plate recognition (“LPR”) Cameras as detailed in Section 00 24 10.",BC,2025-10-14,,,https://metrovancouver.bidsandtenders.ca/Module/Tenders/en/Tender/Detail/3a258bae-112d-4644-bdee-0b07ab27058e,"[{""name"": ""25-405 Forms""}, {""name"": ""25-405 RFP Document""}, {""name"": ""25-405 Schedule of Fees""}]",bidsandtenders.ca_25-405,active,,08d76d62a4204ef393f66d84,2025-10-07T07:07:52.432534+00:00,2025-10-07T07:07:52.432534+00:00,68d474b503bc9d0a5709ed69,neelansh1624@gmail.com,
Consulting Services for Asset Management Program Consulting Services for Asset Management Program View Details,bidsandtenders.ca,engineering,"The work includes asset management consulting expertise to progress the Water Utility's asset management program as detailed in Section 00 24 10. Metro Vancouver has defined several steps towards improving asset management for Water Services, focused on governance, Levels of Service, performance, financial planning, risk identification, asset lifecycle strategy, and data and information management. The Corporation requires professional services to support this work on a project-by-project basis...",BC,2025-10-16,,,https://metrovancouver.bidsandtenders.ca/Module/Tenders/en/Tender/Detail/8b61644d-3262-4251-846b-136ec23e794f/#PlanTaker,"[{""name"": ""25-504 Forms""}, {""name"": ""25-504 RFP Document""}, {""name"": ""25-504 Appendix A""}, {""name"": ""25-504 Appendix B""}]",bidsandtenders.ca_25-504,active,,5a2141e804174b59a811046f,2025-10-07T07:07:52.432534+00:00,2025-10-07T07:07:52.432534+00:00,68d474b503bc9d0a5709ed69,neelansh1624@gmail.com,
Supply and Delivery of Crew Trailer Supply and Delivery of Crew Trailer View Details,bidsandtenders.ca,technology,The RFP concerns Metro Vancouver's interest in procuring one (1) Crew Trailer.,BC,2025-10-07,,,https://metrovancouver.bidsandtenders.ca/Module/Tenders/en/Tender/Detail/fc3771bb-67df-490b-81cf-2f60b012b4d0,"[{""name"": ""25-414 Forms""}, {""name"": ""25-414 RFP Document""}, {""name"": ""25-414 - Form of Proposal (Fillable)""}, {""name"": ""25-414 - Schedule A-1 - Proponents Experience, Reputation & Resources (Fillable)""}, {""name"": ""25-414 - Schedule A-2 \u2013 MV Technical Requirements (Fillable)""}, {""name"": ""25-414 - Schedule A-3 - Proponents Financial Proposal (Fillable)""}]",bidsandtenders.ca_25-414,active,,2dc2d6b65b154ad693f39d29,2025-10-07T07:07:52.432534+00:00,2025-10-07T07:07:52.432534+00:00,68d474b503bc9d0a5709ed69,neelansh1624@gmail.com,
Biosolids Management Biosolids Management View Details,bidsandtenders.ca,construction,"The key objective of this SRFEOI is to identify potential biosolids management solutions that will further develop and/or provide diversification of market opportunities for the Corporation's biosolids. Solutions that require significant infrastructure or capital investment, such as energy recovery processes and associated technologies, will not be considered under this SRFEOI.The Corporation welcomes proposals and all proposals will be considered; however, the Corporation places a priority on b...",BC,2025-12-31,,,https://metrovancouver.bidsandtenders.ca/Module/Tenders/en/Tender/Detail/49ef1ec9-d414-428e-a849-e38b491b7781/#Addendum,"[{""name"": ""25-037 SRFEOI Document""}]",bidsandtenders.ca_25-037,active,,9a32db4ba471452291e16a1a,2025-10-07T07:07:52.432534+00:00,2025-10-07T07:07:52.432534+00:00,68d474b503bc9d0a5709ed69,neelansh1624@gmail.com,
